"PSRAID","SAMPLE","INT_DATE","FCALL","ATTEMPT","REFUSAL","LANG","CREGION","STATE","DENSITY","USR","SCREGION","SSTATE","SUSR","IGENDER","IRACE","ILOC","FORM","LLITEXT","QS1","Q1","Q2","Q2_OE1","Q2_OE2","Q2_OE3","Q3","Q3A","Q4","Q5","Q5A","Q5A_OE1","Q5A_OE2","Q5A_OE3","Q7","Q8","Q9A","Q9B","Q9C","Q9D","Q11","Q12","Q13","SEX","AGE","RECAGE","RECAGE2","EDUC2","RECEDUC","HISP","RACE3M1","RACE3M2","RACE3M3","RACE3M4","RACECMB","RACETHN","PARENT","PARTY","PARTYLN","IDEO","HH1","HH3","QL1","QL1A","QC1","LC2","LC3","PHONEUS2","PHONEUSE","COWEIGHT","LLWEIGHT","CWEIGHT","WEIGHT","Q2VB","Q5AVB"
100031,"Landline",121712,121217,1,"No","English","South","Virginia","Highest","Suburban","South","Virginia","Suburban","Female","Black or African-American","PDS - Virginia","Form 1","Female first",NA,"Dissatisfied","Answer given ","Economy (unsp)",NA,NA,"Don't know/Refused (VOL.)",NA,"A lot","Isolated acts",NA,NA,NA,NA,"Put people","More dangerous","Favor","Oppose","Favor","Favor","Neither (VOL.)","Too much","Yes","Male","62","55-64","50-64","Four year college or university degree/Bachelor","Coll+","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Independent","Republican","Moderate","2","2","Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone","Dual from LL","Dual/few, some cell",3.47619047619048,3.82352941176471,NA,2.375,"THE ECONOMY                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                          "
100033,"Landline",121912,121217,2,"Yes","English","South","Florida","3","Urban","South","Florida","Urban","Male","Black or African-American","PDS - Virginia","Form 1","Female first",NA,"Dissatisfied","Answer given ","Partisanship/the parties/gridlock",NA,NA,"Control gun ownership","Yes, feel strongly","A little [OR]","Broader problems","Answer given","Numbness/Disassociation/Desensitization/Life is not valued",NA,NA,"Protect people from becoming victims of crime [OR]","[VOL. DO NOT READ] Don't know/Refused","Favor","Oppose","Oppose","Oppose","Neither (VOL.)","Don't know/Refused (VOL.)","Don't know/Refused (VOL.)","Male","18","18-24","18-29","High school incomplete (Grades 9-11 or Grade 12 with NO diploma)","LT HS","Yes","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","Hispanic","No","Independent","(VOL.) Other/Don't know/Refused","Moderate","3","2","Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone","Dual from LL","Dual/few, some cell",9.28571428571429,17.4705882352941,NA,9.45833333333333,"POLIITICIANS NOT KEEPING THEIR WORD                                                                                                                                                                                                                       ","OUR GENERATION HAS NO TRUST                                                                                                                                                                                                                               "
100041,"Landline",121712,121217,1,"No","English","Northeast","New York","Highest","Suburban","Northeast","New York","Suburban","Female","Hispanic","PDS - Virginia","Form 1","Male first",NA,"Dissatisfied","Answer given ","Obama",NA,NA,"Protect the right of Americans to own guns","Yes, feel strongly","A lot","Broader problems","Answer given","Guns need to be locked up",NA,NA,"Protect people from becoming victims of crime [OR]","Safer [OR]","Oppose","Oppose","Oppose","Oppose","Republican Party","Too little","No","Male","76","65+","65+","High school graduate (Grade 12 with diploma or GED certificate)","HS grad","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Independent","Republican","Very conservative","2","2","Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone","Dual from LL","Dual/few, some cell",4.85714285714286,5.23529411764706,NA,3.54166666666667,"OBAMA                                                                                                                                                                                                                                                     ","GUNS WERE STOLEN TRAIN PEOPLE NOT TO LEAVE GUNS AROUND                                                                                                                                                                                                    "
100053,"Landline",121712,121217,1,"No","English","Northeast","Connecticut","2","Rural","Northeast","Connecticut","Rural","Female","Black or African-American","PDS - Virginia","Form 1","Female first",NA,"Satisfied","Answer given ","Gun control/too many guns",NA,NA,"Control gun ownership","Yes, feel strongly","A lot","Broader problems","Answer given","Need more treatment/better safety net for mental health problems","Guns/Lack of gun control/Access to guns/Access to assault weapons",NA,"Put people","More dangerous","Favor","Oppose","Favor","Oppose","Democratic Party","Too much","No","Female","67","65+","65+","Two year associate degree from any college or university","Some coll/Assoc degree","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Democrat",NA,"Moderate","2","2","Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone","Dual from LL","Dual/few, some cell",2.52380952380952,2.23529411764706,NA,2.29166666666667,"GUN CONTROL                                                                                                                                                                                                                                               ","INABILITY TO GET MENTLE HELP & GUN CONTROL                                                                                                                                                                                                                "
100054,"Landline",121712,121217,1,"No","English","Northeast","New York","Highest","Urban","Northeast","New York","Urban","Female","Black or African-American","PDS - Virginia","Form 2","Female first",NA,"Satisfied","Answer given ","Gun control/too many guns",NA,NA,"Control gun ownership","Yes, feel strongly","A lot","Broader problems","Answer given","Guns/Lack of gun control/Access to guns/Access to assault weapons",NA,NA,"Put people","More dangerous","Favor","Favor","Favor","Favor","Democratic Party","Too much","No","Female","76","65+","65+","Four year college or university degree/Bachelor","Coll+","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Independent","Democrat","Liberal","1",NA,"Yes, have cell phone",NA,NA,"All or almost all calls on a regular home phone",NA,"Dual from LL","Dual/few, some cell",1.14285714285714,1.17647058823529,NA,1.16666666666667,"GUN CONTROL                                                                                                                                                                                                                                               ","IT REFLECTS THE IGNORING OF THE PROBLEM OF GUNS BEING HELD BY INDIVIUALS THAT DONT NEED THEM.                                                                                                                                                             "
100055,"Landline",121712,121217,1,"No","English","Northeast","Massachusetts","3","Suburban","Northeast","Massachusetts","Suburban","Male","Black or African-American","PDS - Virginia","Form 1","Male first",NA,"Dissatisfied","Answer given ","National debt/budget/deficit/balanced budget/Gov spending",NA,NA,"Protect the right of Americans to own guns","Yes, feel strongly","A lot","Broader problems","Answer given","Family breakdown/Parental failures",NA,NA,"Don't know/Refused (VOL.)","Safer [OR]","Favor","Oppose","Favor","Favor","Don't know/Refused (VOL.)","Don't know/Refused (VOL.)","No","Male","45","45-54","30-49","High school graduate (Grade 12 with diploma or GED certificate)","HS grad","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","Yes","Republican",NA,"Very conservative","8 or more","5","Yes, have cell phone",NA,NA,NA,"All or almost all calls on a cell phone","Dual from LL","Dual/most cell",9.28571428571429,14.8823529411765,NA,5.58333333333333,"I THINK HUGE DEFICITS AND OVERSPENDING                                                                                                                                                                                                                    ","I THINK ITS BECUASE WE DONT HAVE PARENTS AT HOME AND CHILDREN.. WE DONT HAVE PROPER PARENTING,                                                                                                                                                            "
100056,"Landline",121712,121217,1,"No","English","South","South Carolina","2","Urban","South","South Carolina","Urban","Male","White","PDS - Virginia","Form 2","Male first",NA,"Dissatisfied","Answer given ","Dissatisfaction with government/politics/Scandal/corruption in govt/Congress",NA,NA,"Protect the right of Americans to own guns","Yes, feel strongly","A lot","Broader problems","Answer given","General lack of/decline in morals or  religion/Breakdown of social structure","Numbness/Disassociation/Desensitization/Life is not valued",NA,"Protect people from becoming victims of crime [OR]","[VOL. DO NOT READ] Don't know/Refused","Oppose","Oppose","Don't know/Refused (VOL.)","Favor","Republican Party","Too little","Yes","Male","62","55-64","50-64","Four year college or university degree/Bachelor","Coll+","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Republican",NA,"Moderate","2","2","Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone","Dual from LL","Dual/few, some cell",2.71428571428572,3.11764705882353,NA,2,"OUR FEDERAL GOVERMENT                                                                                                                                                                                                                                     ","REFLECTS PEOPLE ARE GETTING AWAY FROM CHURCH AND WE ONLY CARE FOR OUR SELVES|I ME MY SOCIETY  THE GENERAL POPULATION THINKS THEY ARE OWED SOMETHING INSTEAD OF WORKING FOR IT                                                                             "
100058,"Landline",121712,121217,1,"No","English","Northeast","Pennsylvania","4","Suburban","Northeast","Pennsylvania","Suburban","Female","Black or African-American","PDS - Virginia","Form 2","Female first",NA,"Satisfied","Answer given ","Gun control/too many guns",NA,NA,"Control gun ownership","Yes, feel strongly","A lot","Broader problems","Answer given","Gun policy/NRA influence/Politicians' failure to deal with guns",NA,NA,"Put people","More dangerous","Favor","Oppose","Favor","Favor","Democratic Party","Too much","No","Female","71","65+","65+","Some college, no degree includes community college","Some coll/Assoc degree","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Democrat",NA,"Liberal","2","2","Yes, have cell phone",NA,NA,NA,"All or almost all calls on a regular home phone","Dual from LL","Dual/few, some cell",3,3.11764705882353,NA,2.66666666666667,"GUN CONTROL                                                                                                                                                                                                                                               ","LACK OF CONGRESS TO BE ABLE TO CONTROL THE NRA BACKGROUND CHECKS NEEDS TO BE MORE STRIGENT AND SEMI AUTOMATIC WEAPONS SHOULD BE BANNED                                                                                                                    "
100062,"Landline",121712,121217,1,"No","English","South","Maryland","2","Suburban","South","Maryland","Suburban","Female","Black or African-American","PDS - Virginia","Form 1","Male first",NA,"Dissatisfied","Answer given ","National debt/budget/deficit/balanced budget/Gov spending",NA,NA,"Protect the right of Americans to own guns","Yes, feel strongly","A lot","Isolated acts",NA,NA,NA,NA,"Protect people from becoming victims of crime [OR]","Safer [OR]","Oppose","Oppose","Oppose","Oppose","Republican Party","Right amount","Don't know/Refused (VOL.)","Male","30","25-34","30-49","Postgraduate or professional degree, including master","Coll+","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","Yes","(VOL.) Other party","(VOL.) Other/Don't know/Refused","Conservative","3","1","Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone","Dual from LL","Dual/few, some cell",3.28571428571428,5,NA,2.08333333333333,"THE NATIONAL DEBT                                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                          "
100064,"Landline",121712,121217,1,"No","English","Northeast","New Hampshire","3","Suburban","Northeast","New Hampshire","Suburban","Female","White","PDS - Virginia","Form 2","Male first",NA,"Dissatisfied","Answer given ","National debt/budget/deficit/balanced budget/Gov spending","Inflation/difference between wages/costs/prices",NA,"Protect the right of Americans to own guns","Yes, feel strongly","A lot","Broader problems","Answer given","Violence in media/culture/Violent news, video games, TV, movies","Family breakdown/Parental failures",NA,"Protect people from becoming victims of crime [OR]","[VOL. DO NOT READ] Don't know/Refused","Oppose","Oppose","Oppose","Favor","Republican Party","Right amount","Yes","Male","69","65+","65+","Four year college or university degree/Bachelor","Coll+","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Republican",NA,"Conservative","3","3","Yes, have cell phone",NA,NA,NA,"All or almost all calls on a regular home phone","Dual from LL","Dual/few, some cell",2,2.35294117647059,NA,1.58333333333333,"WE ARE SPENDING TOO MUCH MONEY. THE FEDERAL GOVERNMENT IS PRINTING MONEY AND WE ARE GOING TO GET INTO INFLATION.                                                                                                                                          ","LOOK AT THE MOVIES CHILDREN GO TO, AND THE VIDEO GAMES THEY PLAY AND HOW THEY DROP THEIR KIDS OFF AT DAYCARE.                                                                                                                                             "
100066,"Landline",121712,121217,1,"No","English","Northeast","Maine","Lowest","Rural","Northeast","Maine","Rural","Female","Black or African-American","PDS - Virginia","Form 2","Male first",NA,"Dissatisfied","Answer given ","Mental health care/Mental illness",NA,NA,"Control gun ownership","Yes, feel strongly","A lot","Don't know/Refused (VOL.)",NA,NA,NA,NA,"Don't know/Refused (VOL.)","More dangerous","Favor","Don't know/Refused (VOL.)","Oppose","Favor","Don't know/Refused (VOL.)","Too much","No","Female","82","65+","65+","High school graduate (Grade 12 with diploma or GED certificate)","HS grad","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Republican",NA,"Conservative","1",NA,"No, do not",NA,NA,NA,NA,"LLO","LLO",1.19047619047619,1.05882352941176,NA,1.5,"MENTAL ILLNESS                                                                                                                                                                                                                                            ","                                                                                                                                                                                                                                                          "
100067,"Landline",121712,121217,1,"No","English","South","Maryland","2","Suburban","South","Maryland","Suburban","Female","White","PDS - Virginia","Form 2","Male first",NA,"Dissatisfied","Answer given ","Economy (unsp)",NA,NA,"Control gun ownership","Yes, feel strongly","A lot","Broader problems","Answer given","Family breakdown/Parental failures",NA,NA,"Protect people from becoming victims of crime [OR]","More dangerous","Oppose","Oppose","Favor","Favor","Democratic Party","Right amount","No","Female","44","35-44","30-49","Four year college or university degree/Bachelor","Coll+","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","Yes","Democrat",NA,"Moderate","3","2","Yes, have cell phone",NA,NA,NA,"All or almost all calls on a cell phone","Dual from LL","Dual/most cell",6.19047619047619,6.58823529411765,NA,3.75,"OUR ECONOMY                                                                                                                                                                                                                                               ","PARENTING                                                                                                                                                                                                                                                 "
100068,"Landline",121712,121217,1,"No","English","Northeast","Pennsylvania","4","Suburban","Northeast","Pennsylvania","Suburban","Female","Black or African-American","PDS - Virginia","Form 2","Female first",NA,"Dissatisfied","Answer given ","Morality/religion/family values (unsp)",NA,NA,"Don't know/Refused (VOL.)",NA,"A lot","Isolated acts",NA,NA,NA,NA,"Don't know/Refused (VOL.)","[VOL. DO NOT READ] Don't know/Refused","Don't know/Refused (VOL.)","Don't know/Refused (VOL.)","Don't know/Refused (VOL.)","Favor","Don't know/Refused (VOL.)","Don't know/Refused (VOL.)","Don't know/Refused (VOL.)","Female","64","55-64","50-64","High school incomplete (Grades 9-11 or Grade 12 with NO diploma)","LT HS","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","(VOL.) Don't know/Refused","Democrat","Liberal","1",NA,"Yes, have cell phone",NA,NA,"All or almost all calls on a regular home phone",NA,"Dual from LL","Dual/few, some cell",7.23809523809524,5,NA,6.75,"ALOT OF PEOPLE HAVE TURN AWAY FROM GOD AND WE ARE PAYING FOR IT....                                                                                                                                                                                       ","                                                                                                                                                                                                                                                          "
100071,"Landline",121712,121217,1,"No","English","South","Tennessee","2","Rural","South","Tennessee","Rural","Female","Black or African-American","PDS - Virginia","Form 2","Female first",NA,"Dissatisfied","Answer given ","National debt/budget/deficit/balanced budget/Gov spending",NA,NA,"Protect the right of Americans to own guns","Yes, feel strongly","A lot","Isolated acts",NA,NA,NA,NA,"Protect people from becoming victims of crime [OR]","[VOL. DO NOT READ] Don't know/Refused","Oppose","Oppose","Oppose","Oppose","Republican Party","Right amount","Yes","Male","53","45-54","50-64","High school graduate (Grade 12 with diploma or GED certificate)","HS grad","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Independent","Republican","Moderate","2","2","Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone","Dual from LL","Dual/few, some cell",6.42857142857143,12.7647058823529,NA,4,"UNCONTROLLED SPENDING OF THE GOVERNMENT                                                                                                                                                                                                                   ","                                                                                                                                                                                                                                                          "
100073,"Landline",121712,121217,1,"No","English","South","North Carolina","4","Urban","South","North Carolina","Urban","Female","Black or African-American","PDS - Virginia","Form 1","Female first",NA,"Dissatisfied","Answer given ","Fiscal cliff","Dissatisfaction with government/politics/Scandal/corruption in govt/Congress","Obama","Control gun ownership","Yes, feel strongly","A lot","Broader problems","Answer given","Family breakdown/Parental failures","Need more treatment/better safety net for mental health problems",NA,"Put people","More dangerous","Favor","Favor","Favor","Favor","Both equally (VOL.)","Too much","Yes","Female","74","65+","65+","Four year college or university degree/Bachelor","Coll+","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Republican",NA,"Moderate","2","2","No, do not","Yes, someone in household has cell phone",NA,NA,"All or almost all calls on a regular home phone","LLO","Dual/few, some cell",1.85714285714286,2.76470588235294,NA,2.41666666666667,"RESOLVING THE CLIFF QUESTION THAT WE HAVE CAUSED NY THE CONGRESS AND THE PRESIDENT                                                                                                                                                                        ","THE FAMILY VALUES AND MAKING SURE OUR CHUILDREN ARE PROPERLY TAUGHT AND IF THEY HAVE MENTAL PROBLEMS THEY SHOULD BE TAKING CARE OF..                                                                                                                      "
